Date,Type,Security/Payee,Description/Category,Shares Out,Shares In,Share Balance,Cash Out,Cash In,Invest Amt,Balance
3/15/26,Payment/Deposit,Bank Int Xx,Personal Income,,,,,0.01,,"1,207.12"
3/23/26,Miscellaneous Expense,MGMTFEE TO ADVISOR,Advisor Fee,,,,3.36,,,"1,203.76"
3/30/26,Reinvest Dividend,FREE MARKET FIXED INCM FD INST CL SHRS,7.991 shares @ 9.98998874,,7.991,"2,669.07",,,79.83,"1,203.76"
4/2/26,Miscellaneous Expense,MGMTFEE TO ADVISOR,Advisor Fee,,,,181.57,,,"1,022.19"
4/15/26,Payment/Deposit,Bank Int Xx,Personal Income,,,,,0.01,,"1,022.20"
4/23/26,Miscellaneous Expense,MGMTFEE TO ADVISOR,Advisor Fee,,,,3.72,,,"1,018.48"
5/15/26,Payment/Deposit,Bank Int Xx,Personal Income,,,,,0.01,,"1,018.49"
5/26/26,Miscellaneous Expense,MGMTFEE TO ADVISOR,Advisor Fee,,,,3.72,,,"1,014.77"
6/15/26,Payment/Deposit,Bank Int Xx,Personal Income,,,,,0.01,,"1,014.78"
6/23/26,Miscellaneous Expense,MGMTFEE TO ADVISOR,Advisor Fee,,,,4.03,,,"1,010.75"
6/29/26,Reinvest Dividend,FREE MARKET FIXED INCM FD INST CL SHRS,17.28 shares @ 10.03993056,,17.28,"2,686.35",,,173.49,"1,010.75"
7/2/26,Miscellaneous Expense,MGMTFEE TO ADVISOR,Uncategorized,,,,194.67,,,816.08
7/15/26,Payment/Deposit,Bank Int Xx,Personal Income,,,,,0.01,,816.09
7/23/26,Miscellaneous Expense,MGMTFEE TO ADVISOR,Uncategorized,,,,3.9,,,812.19
8/15/26,Payment/Deposit,Bank Int Xx,Personal Income,,,,,0.01,,812.2
8/24/26,Miscellaneous Expense,MGMTFEE TO ADVISOR,Uncategorized,,,,4.03,,,808.17
