Date,Type,Security/Payee,Description/Category,Shares Out,Shares In,Share Balance,Cash Out,Cash In,Invest Amt,Balance
5/28/26,Sell,GOLDMAN SACHS ACTIVEBETAEMERGING MARKETS EQUITY ETF,46 shares @ 51.90,46,,0,,"2,387.34","-2,387.34","3,729.85"
5/28/26,Sell,AVANTIS REAL ESTATE ETF,2 shares @ 47.91,2,,27,,95.82,-95.82,"3,825.67"
5/28/26,Sell,GOLDMAN SACHS ACTIVEBETAINTERNATIONAL EQUITY ETF,4 shares @ 45.885,4,,84,,183.54,-183.54,"4,009.21"
5/28/26,Buy,VANGUARD TAX-EXEMPT BONDINDEX FUND ETF SHARES,61 shares @ 50.27,,61,"2,002","3,066.47",,"3,066.47",942.74
5/28/26,Sell,DIMENSIONAL U.S. CORE EQUITY 2 ETF,37 shares @ 44.14,37,,409,,"1,633.14","-1,633.14","2,575.88"
6/3/26,Dividend Income,VANGUARD TAX-EXEMPT BONDINDEX FUND ETF SHARES,Investments:Dividend Income,,,,,276.48,,"2,852.36"
6/11/26,Dividend Income,AVANTIS REAL ESTATE ETF,Investments:Dividend Income,,,,,10.52,,"2,862.88"
6/11/26,Dividend Income,AVANTIS EMERGING MARKETSEQUITY ETF,Investments:Dividend Income,,,,,21.23,,"2,884.11"
6/15/26,Payment/Deposit,Bank Int Xx,Personal Income,,,,,0.03,,"2,884.14"
6/18/26,Dividend Income,ISHARES U.S. SMALL-CAP EQUITY FACTOR ETF,Investments:Dividend Income,,,,,12.37,,"2,896.51"
6/25/26,Dividend Income,DIMENSIONAL U.S. CORE EQUITY 2 ETF,Investments:Dividend Income,,,,,44.21,,"2,940.72"
6/25/26,Dividend Income,DIMENSIONAL INTERNATIONAL CORE EQUITY 2 ETF,Investments:Dividend Income,,,,,85.52,,"3,026.24"
6/25/26,Dividend Income,DIMENSIONAL NATIONAL MUNICIPAL BOND ETF,Investments:Dividend Income,,,,,284.82,,"3,311.06"
6/30/26,Dividend Income,GOLDMAN SACHS ACTIVEBETAINTERNATIONAL EQUITY ETF,Investments:Dividend Income,,,,,49.4,,"3,360.46"
6/30/26,Dividend Income,GOLDMAN SACHS ACTIVEBETAU.S. LARGE CAP EQUITY ETF,Investments:Dividend Income,,,,,29.3,,"3,389.76"
7/6/26,Dividend Income,VANGUARD TAX-EXEMPT BONDINDEX FUND ETF SHARES,Investments:Dividend Income,,,,,284.28,,"3,674.04"
7/9/26,Miscellaneous Expense,MGMTFEE TO ADVISOR,Uncategorized,,,,649.12,,,"3,024.92"
7/15/26,Payment/Deposit,Bank Int Xx,Personal Income,,,,,0.03,,"3,024.95"
7/16/26,Sell,DIMENSIONAL NATIONAL MUNICIPAL BOND ETF,374 shares @ 48.13360963,374,,"1,768",,"18,001.53","-18,001.53","21,026.48"
7/16/26,Sell,ISHARES U.S. SMALL-CAP EQUITY FACTOR ETF,11 shares @ 86.84636364,11,,49,,955.29,-955.29,"21,981.77"
7/16/26,Sell,GOLDMAN SACHS ACTIVEBETAU.S. LARGE CAP EQUITY ETF,15 shares @ 143.22533333,15,,70,,"2,148.34","-2,148.34","24,130.11"
7/16/26,Sell,AVANTIS REAL ESTATE ETF,5 shares @ 48.56,5,,22,,242.79,-242.79,"24,372.90"
7/16/26,Sell,DIMENSIONAL INTERNATIONAL CORE EQUITY 2 ETF,32 shares @ 37.545,32,,154,,"1,201.41","-1,201.41","25,574.31"
7/16/26,Sell,VANGUARD TAX-EXEMPT BONDINDEX FUND ETF SHARES,349 shares @ 50.14469914,349,,"1,653",,"17,500.07","-17,500.07","43,074.38"
7/16/26,Sell,DIMENSIONAL U.S. CORE EQUITY 2 ETF,71 shares @ 44.53507042,71,,338,,"3,161.91","-3,161.91","46,236.29"
7/16/26,Sell,GOLDMAN SACHS ACTIVEBETAINTERNATIONAL EQUITY ETF,15 shares @ 46.16,15,,69,,692.39,-692.39,"46,928.68"
7/16/26,Sell,AVANTIS EMERGING MARKETSEQUITY ETF,7 shares @ 90.46428571,7,,33,,633.24,-633.24,"47,561.92"
7/17/26,Payment/Deposit,CLIENT REQUEST NETCSH,Uncategorized,,,,"45,000.00",,,"2,561.92"
7/20/26,Buy,DIMENSIONAL INTERNATIONAL CORE EQUITY 2 ETF,174 shares @ 37.315,,174,328,"6,492.81",,"6,492.81","-3,930.89"
7/20/26,Sell,DIMENSIONAL NATIONAL MUNICIPAL BOND ETF,443 shares @ 48.06358916,443,,"1,325",,"21,291.64","-21,291.64","17,360.75"
7/20/26,Buy,AVANTIS EMERGING MARKETSEQUITY ETF,39 shares @ 90.07512821,,39,72,"3,512.93",,"3,512.93","13,847.82"
